product_id,variant_id,catalog_item,image_path,official_product_page,official_asset_url,verified_on
117,11,Panadol Extra Pain Reliever Tablets,products/official/panadol-extra.png,https://www.panadol.com/content/cf-consumer-healthcare/wellness-panadol/en_ie/home/products/adult-products/tough-pain/panadol-extra.html,https://i-cf65.ch-static.com/content/dam/cf-consumer-healthcare/panadol/en_ie/ireland-products/panadol-extra/MGK5158-GSK-Panadol-Extra-455x455.png,2026-07-15
126,20,Dettol Antiseptic Liquid 250ml,products/official/dettol-antiseptic-liquid-250ml.png,https://www.dettol.co.ke/personal-hygiene/antiseptics/dettol-antiseptic-liquid-250ml/,https://eu-images.contentstack.com/v3/assets/bltc8c64b709d1fc04d/blta32c40c36b7b5527/69b913dc3306d62c531ece15/Dettol_Antiseptic_Liquid_250.png,2026-07-15
131,25,Pregnacare Plus 28+28 Tablets,products/official/pregnacare-plus.png,https://www.vitabiotics.com/products/pregnacare-plus-omega-3-tablets-and-capsules,https://www.vitabiotics.com/cdn/shop/files/Pregnacare_Plus_580x580_8052038e-aaf8-4c38-ace6-eb3d9a3bf672.png?v=1772444078,2026-07-15
134,28,Sensodyne Repair & Protect Toothpaste 75ml,products/official/sensodyne-repair-protect.png,https://www.sensodyne.com/en-gb/products/repair-and-protect-toothpaste.html,https://i-cf65.ch-static.com/content/dam/cf-consumer-healthcare/sensodyne-v3/en_GB/products/SSD_Repair_Protect_Original_PDP.png,2026-07-15
135,29,Eucerin Sun Fluid Photoaging Control SPF 50+ 50ml,products/official/eucerin-sun-fluid-photoaging-control-spf50.png,https://www.eucerin.co.za/products/sun-protection/sun-fluid-anti-age-spf-50,https://images-1.eucerin.com/~/media/eucerin%20relaunch%20media/media-center-items/b/a/1/1e3b2389831f4004bccba49fe58d5e78-original.png,2026-07-15
161,41,Uncover Licorice Root Dark Spot Serum,products/official/uncover/licorice-dark-spot-serum.webp,https://ke.uncoverskincare.com/products/licorice-root-dark-spot-serum,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/jtv2yndfn43fdw0no1xz.webp?v=1781804302,2026-07-15
161,42,Uncover Mini Green Tea Revitalising Cleanser,products/official/uncover/mini-green-tea-cleanser.webp,https://ke.uncoverskincare.com/products/mini-cleanser,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/mdzkbhvpamhfrggqeteq.webp?v=1781937605,2026-07-15
161,43,Uncover Mini Aloe Invisible Sunscreen,products/official/uncover/mini-aloe-sunscreen.webp,https://ke.uncoverskincare.com/products/mini-aloe-invisible-sunscreen,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/01_1.webp?v=1782122394,2026-07-15
161,44,Uncover Mini Argan Hydrating Moisturiser 30ml,products/official/uncover/mini-argan-moisturiser.webp,https://ke.uncoverskincare.com/products/mini-moisturiser,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/yltbgnvooqicongrsifn.webp?v=1781937404,2026-07-15
161,45,Uncover Aloe Vera Calming Sheet Mask 3pcs,products/official/uncover/aloe-vera-sheet-mask-3pcs.jpg,https://ke.uncoverskincare.com/products/i-am-cool-aloe-vera-sheet-aloe-vera-3pcs,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/I_am_cool_-_Aloe_vera_Sheet_Mask_3pcs_-100.jpg?v=1759137964,2026-07-15
